Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Tesco Blue Multi Stripe 2 Sheets 2 Tags,No ratings yet,Nan,1.00,- Bright and cheerful design,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302159742
Tesco Colour Multi Stripe 2 Sheets 2 Tags,No ratings yet,Nan,1.00,2 Sheets 2 Tags,Produced in China,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/293574131
Tv Times,(6),4.8,2.20,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/304580607
Tesco Flamingos 2 Sheet 2 Tag,No ratings yet,Nan,1.00,2 Sheets 2 Tags,Produced in China,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302159736
Tesco Glass And Insect Cleaner 500Ml,(2),2.5,1.50,Tesco Glass & Insect Cleaner 500ml,500ml ℮,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305488029
Rizla Blue Papers,No ratings yet,Nan,0.32,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/258372555
Tesco Toilet Brush,(3),2.3,0.80,- White plastic toilet brush and pot,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302509277
Womans Weekly,(2),5,1.30,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/304590329
Daily Mail Saturday,(7),3,1.10,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/306276130
Daily Mail England,(2),3,0.70,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305936676
Lambert & Butler Original Silver 100 Pack,(1),2,52.20,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295528005
Duracell Plus AAA 8 Pack,(28),4.9,7.00,Also available from Duracell,Made in Belgium,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251457426
Tesco Extra Long Life 9V 2 Pack,(2),5,3.50,Pack of 2,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/267376848
Tesco Oven Tray 3 Pack 38Cm 35Cm 28Cm,(7),2.1,7.00,- Teflon non-stick coating,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295157144
Silk Cut Purple King Size 20 Pack,(4),4.5,13.35,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295626269
Brita Maxtra Plus Cartridges Single,(39),4,6.00,25% finer mesh reduces coarse particles,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/297792380
Energizer Max Plus AA 10Pk,No ratings yet,Nan,8.25,Alkaline AA Batteries,10 x Batteries,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/301045613
Tesco Sandwich Tin 20Cm,(2),3,2.50,- Teflon non-stick coating,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295156289
Cutters Choice Extra Fine 30G,No ratings yet,Nan,14.15,Pack size: 30G,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296242060
Sterling Superkings 20 Pack,No ratings yet,Nan,10.14,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295626131
Benson & Hedges Silver King Size 20 Pack,No ratings yet,Nan,11.40,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295823427
Tesco Square Sandwich Tin 20Cm,(2),3.5,2.50,- Teflon non-stick coating,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295156295
Mayfair King Size Sky Blue 20 Pack,No ratings yet,Nan,10.45,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295823329
Mayfair Original Blue 20 Pack,No ratings yet,Nan,10.45,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295629934
Sovereign Blue King Size 20 Pack,No ratings yet,Nan,9.25,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296091680
Tesco Basics Foodsavers 3 Pack 1L,(23),3.8,2.00,Pack of 3 clear plastic food storage containers with lids,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/260281504
Tesco Loaf Tin 2Lb,(3),3.7,2.00,"This 2lb loaf tin makes a high-quality addition to your kitchenware collection. Made of hi-top steel with a Dupont Teflon classic hi-cure non-stick coating, this loaf tin is ideal for bakers of all skill levels. Dishwasher safe. H6 x W11 x D21cm.",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295157052
Tesco Multi Colour Pack Tissue 10 Pack,No ratings yet,Nan,1.75,- Add extra impact to your gifts,3 sheets,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296818663
Tesco String 40M,(3),4,1.00,Pack size: 40M,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251431898
Rizla Silver Slim King Size Papers,(1),5,0.88,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/256809585
Tesco White Linen & Orchid 27Pk Tealights,(3),1,1.75,SS21 Tesco 27pk Scented Tealights JB,Made in Poland,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296205910
Swan Slim Filter Tips Pre Cut 102 Pack,(1),5,0.88,To see our full range of products why not visit us on the web www.houseofswan.com,102 x Filter Tips,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/260342905
Haribo Party Mix,No ratings yet,Nan,1.50,"Fruit Flavour Gums, Cola Flavour Gums, Milk Flavour Gums and Sweet Foam Gums","Glucose  Syrup, Sugar, Gelatine, Dextrose, Acid: Citric Acid, Malic Acid, Caramelised Sugar Syrup, Fruit and Plant Concentrates: Apple, Aronia, Blackcurrant, Carrot, Elderberry, Grape, Hibiscus, Kiwi, Lemon, Mango, Orange, Passion Fruit, Safflower, Spirulina, Flavouring, Glazing Agents, Beeswax, Carnauba Wax, Elderberry Extract",Nan,"Energy: 1 459 kJ/343 kcal4 %Fat: <0,5 g<1 %of which saturates: 0,1 g<1 %Carbohydrate: 78 g8 %of which sugars: 47 g13 %Protein: 6,7 g3 %Salt: 0,",https://www.tesco.com/groceries/en-GB/products/298650396
Rizla Liquorice Papers,No ratings yet,Nan,0.42,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/258372618
Bostic Blue Tack,(2),4.5,1.00,Repositionable & reusable,36 Months,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/252855800
Tesco A5 Notebook 140 Pages,(1),4,0.60,"Tesco Stores Ltd.,",Cover. Widely Recycled,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/271660270
Tesco Vanilla & Honey Filled Candle,(4),3.8,1.00,SS21 Tesco Scented Candle JB core,Made in Poland,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296205708
Tesco White Linen & Orchid Filled Candle,(5),4,1.00,SS21 Tesco Scented Candle JB core,Made in Poland,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296205829
Chat Magazine,(2),3,1.05,"Christine and her son loved Christmas ¿but, tragically, this year he won¿t be ¿here to celebrate ¿with her...  Kristie¿s brave little ¿boys took on a killer together ¿ and won.  And Emma shares how a snowman helped play matchmaker for her and her hubby! We¿ve also got the glitziest party tops, so you can sparkle even if you're just sitting in front of the telly ¿ and some cracking prize puzzles!",Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/306347559
Bella,(2),4,1.20,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/307232002
Swan Vestas Matches 1 Box,(1),5,0.36,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/258358763
Thats Life,(1),5,0.82,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/306011818
The Sun,(6),3,0.60,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/255252495
Silk Cut Silver King Size 100 Pack,(2),5,63.75,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295823364
Marlboro Gold King Size 100 Pack,(1),5,61.25,"Made in the EU under authority of Philip Morris Products S.A., Neuchatel, Switzerland.",18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295797555
Energizer Max AA 12 Pack,(1),5,5.00,12-pack of Energizer MAX® Alkaline AA batteries,12 x Batteries,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/277861466
